author_id,text,created_at,public_metrics
10687212,"RT @KobeissiLetter: JUST IN: Apple, $AAPL, launches savings account with a 4.15% interest rate.

This is the latest of many high yield savi…",2023-04-18T02:30:16.000Z,"{'retweet_count': 530, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1572129062013005824,@gurgavin $AAPL hands down,2023-04-18T02:29:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 4}"
7796912,RT @CheddarFlow: Buybacks have Inflated $AAPL's Earnings Per Share https://t.co/05ijfB3gUs,2023-04-18T02:28:53.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
1549265524181282817,"$AAPL Top analyst price target for next week.......&gt;🚀
https://t.co/yHq1F8YfJ9",2023-04-18T02:26:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
461768237,GoDaddy now accepting contactless payments via Tap to Pay on the iPhone https://t.co/qP5J17giE8 $AAPL,2023-04-18T02:24:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 18}"
461768237,GoDaddy rolls out support for Tap to Pay on iPhone for U.S. businesses https://t.co/59P9z3bN7L $AAPL https://t.co/UttcWZu5yV,2023-04-18T02:24:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 17}"
948160204364849154,"#Apple $AAPL Last 36 months Daily #StockMovement Histogram #Chart
Max downward movement was -8.01%
Max upward movement was 10.47%
Stock majorly moved between -1.78% and 2.08%
Start #investing in #GlobalStocks at https://t.co/peLniHQjpl 
#Investor https://t.co/QDHlL29h71",2023-04-18T02:23:12.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 8}"
1608147863791599617,RT @WatcherGuru: JUST IN: Apple $AAPL launches high-yield savings account offering 4.15% APY in partnership with Goldman Sachs.,2023-04-18T02:22:59.000Z,"{'retweet_count': 958, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
184030488,RT @WatcherGuru: JUST IN: Apple $AAPL launches high-yield savings account offering 4.15% APY in partnership with Goldman Sachs.,2023-04-18T02:22:27.000Z,"{'retweet_count': 958, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
178554850,RT @CheddarFlow: Buybacks have Inflated $AAPL's Earnings Per Share https://t.co/05ijfB3gUs,2023-04-18T02:21:49.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}"
